gene	21Day	22Month	24hpf	3Month	72hpf
si:ch211-206k20.5	1856	3767	1067	9669	3298
si:ch211-207d10.2	12	6	16	4	41
si:ch211-207d6.2	2036	1742	514	6058	1654
si:ch211-207e14.4	785	321	170	602	571
si:ch211-207i1.2	2899	3074	1193	12699	5404
si:ch211-207i20.2	154	728	109	1135	233
si:ch211-207i20.3	832	3385	406	6454	1557
si:ch211-207j7.2	1008	7406	74	13730	431
si:ch211-207k7.4	359	2054	120	4189	445
si:ch211-207l14.1	1086	490	37	340	484
si:ch211-208f21.2	54	159	63	145	77
si:ch211-208h16.4	334	419	148	282	324
si:ch211-209j10.6	663	911	1876	4524	2217
si:ch211-209j12.3	25	14	20	0	13
si:ch211-209l18.2	119	362	127	583	466
si:ch211-209l18.4	551	3018	410	2628	1488
si:ch211-209n20.1	202	71	11	151	50
si:ch211-210b2.1	621	973	434	1143	888
si:ch211-210c8.6	1391	6116	912	8859	1631
si:ch211-210c8.7	1826	4588	1390	6717	2932
si:ch211-210g13.5	20	2178	20	404	47
si:ch211-212c13.10	292	5495	22	5325	199
si:ch211-212g7.6	1997	14985	408	20872	1972
si:ch211-212k18.4	15253	32248	8211	46786	30653
si:ch211-212k18.5	2986	321	23953	492	13222
si:ch211-212k18.6	30	526	2	1128	24
si:ch211-212k18.7	22767	97518	8307	124361	10675
si:ch211-212k18.8	1980	3615	1072	7727	2586
si:ch211-212k18.9	1076	2031	435	5854	1118
si:ch211-212k5.1	20	0	21	0	7
si:ch211-212k5.4	6	2	27	2	13
si:ch211-212o1.2	702	2689	261	4811	1172
si:ch211-213a13.1	2436	13908	102	11642	860
si:ch211-213a13.2	238	369	9	849	32
si:ch211-213a13.5	1060	1446	83	1654	378
si:ch211-213c4.5	238	1423	144	1633	319
si:ch211-213d14.2	2798	4000	79	23727	2195
si:ch211-214b16.2	366	3996	133	8920	408
si:ch211-214c7.4	898	1222	780	2049	4834
si:ch211-214e3.5	940	1045	644	1862	1973
si:ch211-214j24.10	29332	97867	11518	101470	20260
si:ch211-214j24.14	601	45510	229	45949	1246
si:ch211-214j24.15	55	10041	4	14175	99
si:ch211-214j8.12	224	797	41	1808	211
si:ch211-214p13.9	530	1845	111	1108	150
si:ch211-214p16.1	17546	66098	140	161902	1591
si:ch211-214p16.2	2684	16920	255	30184	274
si:ch211-215d8.2	102	226	135	282	571
si:ch211-215k15.5	385	2258	123	3998	466
si:ch211-216b21.2	151	135	76	288	262
si:ch211-216l23.2	3479	5321	2257	7840	8244
si:ch211-217a12.1	104	82	24	87	181
si:ch211-217k17.7	11590	107560	8166	98022	6225
si:ch211-217k17.9	40141	3423	4725	5819	35891
si:ch211-218c6.8	3488	24579	1233	16353	4046
si:ch211-218d20.15	105	102	20	209	411
si:ch211-218g23.6	1238	2616	597	2878	3734
si:ch211-218g4.2	477	2175	124	2378	577
si:ch211-218o21.4	74	383	32	848	131
si:ch211-219a4.3	543	6457	162	10551	254
si:ch211-219a4.6	378	5512	84	5565	223
si:ch211-220f16.2	1623	7302	794	16189	3709
si:ch211-220f21.1	47	26	83	538	87
si:ch211-220f21.2	26	66	65	525	69
si:ch211-221f10.2	156	395	15	725	95
si:ch211-221j21.3	1492	3795	774	7904	2249
si:ch211-222e20.4	1040	17982	153	48867	607
si:ch211-222k6.3	919	1906	132	7015	706
si:ch211-222l21.1	100121	146285	168828	363526	279250
si:ch211-222n22.1	4	20	53	409	52
si:ch211-223a21.1	174	367	397	263	334
si:ch211-223a21.3	105	285	242	618	432
si:ch211-223a21.4	55	0	35	0	36
si:ch211-225b10.3	1854	148	400	1321	2599
si:ch211-225b11.1	2495	4897	236	8985	1165
si:ch211-225b11.4	90	193	9	274	69
si:ch211-225b7.5	160	482	99	679	176
si:ch211-225g23.1	1509	1219	1858	6652	3172
si:ch211-225h24.2	559	1435	138	1662	400
si:ch211-226h8.14	4	1031	83	25	11
si:ch211-226h8.4	2	623	21	0	12
si:ch211-226l4.6	124	1135	1913	6592	197
si:ch211-226m16.2	2309	12333	1595	28887	2534
si:ch211-226m7.4	35	206	15	1560	53
si:ch211-226o13.2	16	29	63	7	34
si:ch211-227m13.1	2722	503	37	690	1864
si:ch211-227n13.3	648	1864	461	7234	834
si:ch211-229l10.11	2	0	13	0	3
si:ch211-229n2.7	251	3	85	75	358
si:ch211-22i13.2	3795	8680	3099	16043	7791
si:ch211-22k7.9	72	516	10	1080	47
si:ch211-230g15.5	2381	5617	431	12936	4411
si:ch211-231f6.6	857	4935	307	7214	706
si:ch211-232b12.5	1662	7324	260	7954	1996
si:ch211-232i5.1	3257	892	1387	1260	6158
si:ch211-232i5.3	106	9	23	104	118
si:ch211-232m8.3	298	626	45	2470	279
si:ch211-233a24.2	3867	13361	794	20212	7250
si:ch211-234c11.3	45	104	80	51	66
si:ch211-235e9.8	14953	42516	2525	45488	11061
si:ch211-235i11.3	165	238	219	373	313
si:ch211-235i11.4	432	305	288	453	690
si:ch211-235i11.5	472	664	294	942	1105
si:ch211-235m3.10	131	109	80	242	194
si:ch211-237l4.6	3724	2667	67	2779	1650
si:ch211-238e22.4	86	6681	359	5897	183
si:ch211-238n5.4	843	8264	322	10341	2191
si:ch211-239f4.6	5488	130	105	809	3981
si:ch211-239j9.1	1320	3835	232	7668	1616
si:ch211-240l19.5	7830	31585	35	176108	194
si:ch211-241b2.1	626	1980	590	3121	2423
si:ch211-241d21.5	39	590	55	4935	80
si:ch211-241e1.3	2103	7728	135	27456	1436
si:ch211-241e1.5	338	997	208	2469	520
si:ch211-241f5.3	82	551	14	1052	35
si:ch211-241j12.3	789	1549	350	2310	2113
si:ch211-242b18.1	2622	8330	365	14630	5869
si:ch211-243a20.3	2410	8093	339	18261	3442
si:ch211-243a20.4	415	3963	398	3398	421
si:ch211-243g18.2	2245	5152	3147	15214	8161
si:ch211-243j20.2	1784	4076	427	6911	3834
si:ch211-243p7.3	274	296	237	850	409
si:ch211-244b2.3	600	6213	87	6579	220
si:ch211-244b2.4	312	2610	73	4962	207
si:ch211-244c8.4	1991	312	68	325	6925
si:ch211-244o22.2	4248	954	3965	4351	9901
si:ch211-245h14.1	823	13532	86	18621	283
si:ch211-245j22.3	32	49	22	104	38
si:ch211-245n8.4	90	90	149	359	211
si:ch211-246i5.5	164	1242	276	1929	631
si:ch211-246m6.5	643	491	671	2035	3024
si:ch211-247j9.1	1030	2042	105	4223	1578
si:ch211-247n2.1	192	1098	58	217	169
si:ch211-248a14.8	579	41308	35	44341	821
si:ch211-248e11.2	431	11364	286	14544	518
si:ch211-24o8.4	54	226	244	1412	169
si:ch211-250c4.4	775	1396	275	1704	1045
si:ch211-250c4.5	54	422	34	831	53
si:ch211-251b21.1	71405	6107	908	7600	53821
si:ch211-251f6.6	724	3963	36	16647	974
si:ch211-251p5.5	379	2061	178	1872	354
si:ch211-253b8.2	942	1515	559	3118	2574
si:ch211-253b8.5	758	1823	36	1393	133
si:ch211-253p18.2	87	2207	190	11760	158
si:ch211-253p2.2	159	208	17	715	435
si:ch211-254n4.3	319	371	23	444	832
si:ch211-255f4.7	242	604	201	1138	325
si:ch211-255g12.8	75	1388	38	1382	19
si:ch211-255i3.4	586	2107	19	1695	1125
si:ch211-255p10.3	593	258	117	509	1480
si:ch211-256a21.4	3195	8904	41	15256	1125
si:ch211-256e16.3	42	61	21	243	82
si:ch211-258f1.3	117	786	37	1358	244
si:ch211-258f14.2	370	427	52	391	752
si:ch211-259g3.4	1063	3248	515	5635	2068
si:ch211-260e23.9	1767	18566	525	49538	5640
si:ch211-260p9.3	48	374	60	302	10
si:ch211-261d7.3	415	804	164	1766	1183
si:ch211-261d7.6	587	657	188	1253	656
si:ch211-261n11.5	1307	1847	1012	4111	2769
si:ch211-261n11.7	614	3862	84	6933	449
si:ch211-261p9.4	34	105	16	87	27
si:ch211-262e15.1	12078	16553	6056	16729	26477
si:ch211-262h13.3	1416	7530	1567	8819	2890
si:ch211-262i1.3	1121	9264	58	5817	1129
si:ch211-262i1.5	277	1144	243	1773	674
si:ch211-262i1.6	5109	20836	1424	24625	4193
si:ch211-264e16.1	1	17	43	3	543
si:ch211-264f5.2	398	44331	692	22877	200
si:ch211-264f5.6	126	201	45	635	183
si:ch211-265o23.1	314	515	217	767	719
si:ch211-266c8.1	92	559	5	825	39
si:ch211-266d19.4	369	684	342	1345	693
si:ch211-266g18.10	830	294	127	123	821
si:ch211-266g18.6	1142	6463	43	21245	1337
si:ch211-266i6.3	944	953	764	6881	1676
si:ch211-266k8.4	741	317	420	1350	1029
si:ch211-266o15.1	1445	1822	594	3536	3519
si:ch211-267e7.3	528	358	1316	1333	2472
si:ch211-269c21.2	126	286	53	474	456
si:ch211-269k10.2	1272	1645	2962	4197	4206
si:ch211-26b3.4	1684	6374	190	6628	2989
si:ch211-270g19.5	1073	4785	56	10492	260
si:ch211-271b14.1	6388	8997	5225	15411	11203
si:ch211-271d10.2	18	161	12	396	38
si:ch211-272n13.3	1812	1625	1326	6550	3794
si:ch211-275j6.5	990	2983	435	14333	1705
si:ch211-276c2.4	1885	2988	1435	5213	4295
si:ch211-276i12.11	3618	4822	7547	11327	6933
si:ch211-276i12.9	3331	9142	2385	15398	7826
si:ch211-277c7.7	40	1012	68	7987	73
si:ch211-278a6.1	687	303	13	264	1534
si:ch211-278j3.3	642	1196	76	1253	1786
si:ch211-278p9.1	56	650	11	2197	45
si:ch211-281g13.5	50	20	86	304	168
si:ch211-281l24.3	3422	10076	717	12844	2590
si:ch211-282b22.1	4082	9977	2101	10465	3178
si:ch211-282j22.3	398	471	216	755	592
si:ch211-282k23.2	107	301	572	239	497
si:ch211-283h6.4	71	64	53	223	90
si:ch211-284b7.3	5622	15865	5180	29084	7506
si:ch211-284e13.5	249	658	77	1307	406
si:ch211-284e13.6	2263	2211	503	2029	12220
si:ch211-284f22.3	6546	4044	1386	6183	11129
si:ch211-284o19.8	1284	44962	1479	25608	1622
si:ch211-285c6.4	521	148	58	300	1661
si:ch211-285f17.1	865	892	917	1238	3589
si:ch211-286b4.4	16	231	5	397	16
si:ch211-286b5.2	72	564	27	6984	30
si:ch211-286b5.5	7672	18295	6042	55749	11148
si:ch211-286b5.6	11	135	3	258	2
si:ch211-286b5.8	10	722	14	656	3
si:ch211-286b5.9	76	1216	107	3059	49
si:ch211-286o17.1	5327	892	15727	2872	7969
si:ch211-288d18.1	1662	1484	94	2885	3441
si:ch211-288g17.3	58461	24230	68452	59506	149061
si:ch211-28p3.4	49	36	31	881	187
si:ch211-33e4.3	92	177	79	703	207
si:ch211-37e10.2	633	124	323	606	668
si:ch211-39a7.1	190	46	134	142	549
si:ch211-39k3.2	3676	5956	1139	11827	3062
si:ch211-40k21.5	1340	7232	849	6182	1846
si:ch211-40k21.9	336	1810	140	5020	577
si:ch211-51a6.2	385	1177	272	2107	1024
si:ch211-51c14.1	821	126	511	440	1185
si:ch211-51e12.7	27147	22272	25787	46470	64626
si:ch211-51h9.6	1716	1651	2701	3041	2483
si:ch211-51h9.7	851	3686	420	4365	867
si:ch211-53m15.1	56	3734	200	1109	70
si:ch211-56a11.2	1584	85	298	312	3044
si:ch211-57h10.1	53	197	169	13717	174
si:ch211-59d15.9	737	6274	195	4482	726
si:ch211-59h6.1	616	2133	59	4479	377
si:ch211-59o9.10	1438	2467	1744	3516	4324
si:ch211-63o20.7	421	773	630	3082	805
si:ch211-63p21.1	1587	1897	17	2424	286
si:ch211-66e2.3	207	11012	43	11186	272
si:ch211-66e2.5	1287	448	84	600	2315
si:ch211-66k16.27	5368	4833	98	5898	739
si:ch211-66k16.28	76	437	16	1550	12
si:ch211-67e16.11	2141	579	1032	505	3911
si:ch211-67e16.3	136	354	86	991	24
si:ch211-67e16.4	1907	3247	545	5431	4095
si:ch211-68a17.7	2399	12976	1031	13750	2980
si:ch211-69b22.5	193	438	121	2608	381
si:ch211-69b7.6	4338	1640	220	9517	2562
si:ch211-69g19.2	4380	4462	8467	18828	18818
si:ch211-69l10.4	75	392	23	189	140
si:ch211-71k14.1	213	246	265	957	277
si:ch211-71m22.1	2336	9267	218	24711	1322
si:ch211-71m22.3	187	400	16	1898	58
si:ch211-71n6.4	245	1235	111	2796	366
si:ch211-74f19.2	1078	3769	514	13735	1294
si:ch211-76m11.5	43	1061	18	1729	35
si:ch211-79g12.1	21	6	21	18	29
si:ch211-79k12.1	1728	59663	374	90108	4918
si:ch211-79k12.2	535	1242	102	2092	972
si:ch211-79l17.1	1938	1508	731	2616	2036
si:ch211-80h18.1	2076	910	160	8625	7397
si:ch211-81a5.8	369	189	36	207	474
si:ch211-85n16.3	1984	4330	1101	4446	2185
si:ch211-85n16.4	127	1142	31	1144	79
si:ch211-86h15.1	884	1609	435	3581	1802
si:ch211-87j1.4	43	91	202	33	133
si:ch211-87m7.2	59	293	20	359	54
si:ch211-89o9.6	1238	2000	945	5542	3084
si:ch211-8c17.2	80	5231	50	2001	48
si:ch211-91p5.3	426	3543	61	6746	506
si:ch211-93g21.2	261	320	80	785	247
si:ch211-95j8.2	7001	1357	761	3730	11605
si:ch211-98n17.5	13215	2548	1512	9598	12275
si:ch73-100l22.3	1276	2591	718	9435	2835
si:ch73-103b9.2	228	425	121	3513	263
si:ch73-109d9.1	568	1555	214	3538	1493
si:ch73-109d9.2	635	1132	573	2472	1729
si:ch73-109d9.3	770	2060	533	3335	1746
si:ch73-111k22.2	8546	8510	3032	13292	14653
si:ch73-112l6.1	741	2656	263	3901	1229
si:ch73-119p20.1	5019	970	81	1457	7522
si:ch73-120g24.4	173	243	128	546	475
si:ch73-127m5.2	776	1131	734	2517	1743
si:ch73-12o23.1	423	7851	473	8282	626
si:ch73-130a3.4	368	1297	207	3511	751
si:ch73-132f6.5	1507	4433	255	12016	1482
si:ch73-138e16.3	47	9	32	54	49
si:ch73-138e16.6	1207	2917	562	3514	2351
si:ch73-138n13.1	8673	10139	3402	22202	14343
si:ch73-141c7.1	3059	315540	1624	275224	1973
si:ch73-142c19.1	164	161	35	249	76
si:ch73-144d13.4	330	36	401	114	261
si:ch73-144d13.5	26	3	27	7	21
si:ch73-144l3.1	64	2391	10	4216	95
si:ch73-147f11.1	60	242	49	35	269
si:ch73-147o17.1	1527	12665	503	18070	2533
si:ch73-158p21.2	203	913	145	1763	369
si:ch73-158p21.3	432	6602	120	18162	89
si:ch73-15b2.5	127	3623	160	8385	194
si:ch73-160h15.3	217	472	205	1487	284
si:ch73-160p18.3	0	303	48	0	4
si:ch73-167f10.1	141	3694	1405	37363	187
si:ch73-170d6.3	61	6575	182	4985	10
si:ch73-173p19.1	634	17218	328	15670	877
si:ch73-174h16.4	997	1555	262	2863	1809
si:ch73-181d5.4	1383	2267	634	3324	2659
si:ch73-18b11.2	247	2648	91	4064	245
si:ch73-193c12.2	196	220	151	289	243
si:ch73-194h10.2	1746	16057	131	33915	3018
si:ch73-196i15.3	452	98	58	572	2479
si:ch73-199g24.2	4261	6550	2577	13127	6228
si:ch73-1a9.3	72780	70715	116907	217084	249926
si:ch73-1a9.4	2900	9390	1184	12507	5162
si:ch73-204p21.2	2875	1170	735	4057	4661
si:ch73-208g10.1	999	9749	291	9231	165
si:ch73-211l13.2	1694	4227	450	6159	3639
si:ch73-212j7.3	299	927	47	2569	173
si:ch73-215f7.1	549	90	103	270	3159
si:ch73-217b7.1	659	1248	54	1747	661
si:ch73-21g5.7	2510	1265	6182	132	19888
si:ch73-21k16.4	3019	7031	1979	8515	6940
si:ch73-221f6.1	223	737	136	2270	250
si:ch73-221f6.3	1115	933	1378	1676	1477
si:ch73-22o12.1	6075	28720	1278	10810	9050
si:ch73-233f7.1	496	799	59	434	1382
si:ch73-234b20.5	4175	42842	542	79396	2631
si:ch73-236c18.8	790	1315	192	2234	1257
si:ch73-236c18.9	783	3520	962	5730	989
si:ch73-237c6.1	4935	3031	1596	4116	6906
si:ch73-238c9.1	2796	11478	1324	15094	3694
si:ch73-242m19.1	22	157	31	271	83
si:ch73-248e21.1	4404	15935	732	15172	3143
si:ch73-248e21.5	4186	34530	946	41029	776
si:ch73-248e21.7	2201	27797	651	43773	466
si:ch73-249k16.4	65	145	24	123	105
si:ch73-252i11.1	509	2831	174	7838	538
si:ch73-252p3.1	696	1533	97	6046	1154
si:ch73-257c13.2	114	220	56	637	189
si:ch73-25f10.6	949	3239	696	6849	1255
si:ch73-263o4.4	899	572	784	1519	1594
si:ch73-264p11.1	268	1595	149	2961	173
si:ch73-265d7.2	250	804	1684	3330	2221
si:ch73-266f23.1	899	1437	715	3010	2163
si:ch73-266f23.3	670	795	308	1226	1449
si:ch73-269m14.2	1595	2995	571	5116	1435
si:ch73-269m23.5	86	32931	41	9463	136
si:ch73-278m9.1	59	150	19	364	94
si:ch73-27e22.8	180	1737	38	2430	148
si:ch73-280o22.2	139	186	50	321	263
si:ch73-281n10.2	74638	70929	136884	135552	216682
si:ch73-287m6.1	370	187	29	249	722
si:ch73-28h20.1	4529	316	116	255	8938
si:ch73-290k24.5	504	144	17	95	928
si:ch73-296e2.3	112	576	21	1043	145
si:ch73-299h12.2	889	251	39	342	94
si:ch73-299h12.3	363	20	149	8	151
si:ch73-299h12.6	460	7228	218	8817	786
si:ch73-299h12.8	63	200	34	398	100
si:ch73-304f21.1	35	207	166	289	56
si:ch73-305o9.3	159	445	30	75	238
si:ch73-308l14.2	5596	6333	6764	10057	5168
si:ch73-308m11.1	2152	21045	917	33316	3394
si:ch73-311h14.2	1151	3414	832	6722	2204
si:ch73-314g15.3	412	2775	116	4331	329
si:ch73-31d8.2	381	1334	35	2515	543
si:ch73-334d15.1	145	2268	73	5725	310
si:ch73-335l21.1	2813	12526	451	21547	3918
si:ch73-335l21.4	137367	386696	40478	609503	196046
si:ch73-340n8.4	1273	4419	1376	6822	1743
si:ch73-341k19.1	116	163	204	539	291
si:ch73-343l4.1	1	108	0	168	0
si:ch73-343l4.2	176	6466	1027	7213	101
si:ch73-343l4.8	287	27752	321	17195	59
si:ch73-347e22.4	2265	1402	3180	2447	4695
si:ch73-347e22.8	2621	1043	1169	8238	4790
si:ch73-352p18.4	456	3512	71	7934	355
si:ch73-352p4.5	127	108	159	965	206
si:ch73-352p4.8	264	592	177	2294	616
si:ch73-359m17.2	5571	84924	72	418135	130
si:ch73-359m17.7	1274	1646	16	4063	36
si:ch73-359m17.9	7074	20989	1037	43965	1049
si:ch73-361h17.1	6710	155247	154	150732	1688
si:ch73-364h19.1	54	1434	1157	3549	305
si:ch73-366i20.1	22	369	32	723	30
si:ch73-366l1.5	1469	2464	157	6403	3374
si:ch73-367f21.4	404	2718	194	3302	779
si:ch73-367f21.5	64	153	26	237	67
si:ch73-367p23.2	4585	181	635	217	7547
si:ch73-368j24.11	38	2	93	13	73
si:ch73-368j24.12	44	8	85	15	41
si:ch73-375g18.1	9941	18781	1909	28515	10628
si:ch73-376l24.2	3079	6587	2359	11133	3936
si:ch73-376l24.3	2684	6681	1905	13740	3508
si:ch73-376l24.6	1235	2333	1061	3513	858
si:ch73-37h15.2	1343	2666	1139	6935	1456
si:ch73-380l10.2	32	237	104	459	102
si:ch73-382f3.1	332	1629	332	3418	762
si:ch73-383g2.1	78	586	18	790	55
si:ch73-386h18.1	4462	962	6958	1437	31341
si:ch73-389b16.2	429	287	81	694	1255
si:ch73-389k6.1	1296	1963	831	2700	1587
si:ch73-390p7.2	1025	8407	395	10363	1152
si:ch73-40i7.5	561	3492	329	6434	886
si:ch73-42k18.1	6	26	20	24	18
si:ch73-42p12.2	242	847	101	1888	163
si:ch73-43g23.1	374	268	131	112	1220
si:ch73-44m9.2	78	168	102	23	93
si:ch73-46j18.5	26048	10278	14681	62929	85021
si:ch73-49o8.1	293	993	155	1157	812
si:ch73-52e5.1	1544	4162	465	8417	2289
si:ch73-52f15.5	709	128	317	988	2609
si:ch73-59f11.3	11	154	17	494	15
si:ch73-63e15.2	10399	29709	584	16702	8680
si:ch73-6l19.2	9136	8103	2109	15327	14054
si:ch73-70c5.1	3500	4291	326	6541	2025
si:ch73-71c20.5	2679	16408	1677	26976	4339
si:ch73-71d17.2	495	1434	148	2437	887
si:ch73-74h11.1	2352	142	462	117	3731
si:ch73-78o10.1	346	162	449	1254	1288
si:ch73-86n18.1	2083	171087	1112	125503	6985
si:ch73-90p23.1	64	748	69	2254	81
si:ch73-91k6.2	1004	5070	143	2220	497
si:ch73-92e7.4	660	2621	507	4666	1360
si:ch73-92e7.6	21	13	31	52	31
si:ch73-95l15.3	81	327	99	1264	111
si:ch73-95l15.5	1322	12309	316	15958	2256
si:dkey-100n23.3	3182	6386	1147	11619	5063
si:dkey-100n23.5	2617	14573	649	16871	2972
si:dkey-102c8.3	2355	2771	2065	9496	6221
si:dkey-102f14.5	24	89	17	313	19
si:dkey-102g19.3	503	47249	325	109250	72
si:dkey-102m7.3	5886	32029	4082	24144	3384
si:dkey-103d23.5	118	83	37	493	233
si:dkey-103e21.5	113	568	22	1129	35
si:dkey-103i16.6	14	0	9	36	14
si:dkey-104n9.1	1114	2265	153	2811	279
si:dkey-105i14.1	112	159	35	371	160
si:dkey-106c17.2	19	5	55	0	103
si:dkey-106g10.7	355	425	261	809	1230
si:dkey-106n21.1	9	3	12	11	14
si:dkey-108k21.10	94	5	95	12	91
si:dkey-108k21.14	34	72	73	65	44
si:dkey-108k21.21	17	9	78	11	31
si:dkey-108k21.24	40	21	110	28	36
si:dkey-109a10.2	448	1936	14	5376	30
si:dkey-109l4.3	356	498	880	2205	1027
si:dkey-10f21.4	107	212	35	532	195
si:dkey-10f23.2	4361	11573	2224	13469	6546
si:dkey-10o6.2	499	1674	50	2095	281
si:dkey-10p5.10	483	1149	187	2482	1188
si:dkey-110c1.10	5707	3114	7805	12515	28863
si:dkey-110g7.8	557	3657	43	5665	239
si:dkey-111e8.1	70	79	55	136	62
si:dkey-111k8.2	63	201	81	348	93
si:dkey-111k8.3	104	465	212	838	240
si:dkey-111k8.5	41	16	30	22	54
si:dkey-112a7.4	12465	65448	1565	96529	10865
si:dkey-112m2.1	304	374	47	344	1014
si:dkey-114c15.5	18	54	64	541	52
si:dkey-117a8.1	117	553	90	509	178
si:dkey-117m1.4	342	512	264	634	474
si:dkey-117n7.2	369	0	318	3	568
si:dkey-117n7.3	28	0	34	0	28
si:dkey-117n7.4	154	3	161	7	210
si:dkey-117n7.5	459	72	394	438	867
si:dkey-118j18.2	11675	13392	2991	26946	12231
si:dkey-119f1.1	933	3233	453	10141	717
si:dkey-11c5.11	297	872	88	7489	365
si:dkey-11f4.16	1401	3241	219	7395	1146
si:dkey-11f4.20	1472	2387	223	5717	194
si:dkey-121a11.3	482	559	78	1031	671
si:dkey-121a9.3	42	33	60	282	46
si:dkey-121j17.5	299	4126	10	8814	110
si:dkey-121j17.6	115	79	88	132	228
si:dkey-122a22.2	253	792	113	598	251
si:dkey-122c11.1	79	434	79	637	107
si:dkey-122c11.8	15	0	90	2	36
si:dkey-124l13.1	12	62	15	576	6
si:dkey-125i10.3	202	239	95	513	2308
si:dkey-126g1.9	214	2210	210	2216	383
si:dkey-12e7.1	79	213	18	531	105
si:dkey-12h9.6	1595	147	38	181	9074
si:dkey-12j5.1	2553	10851	2624	6663	2319
si:dkey-12l12.1	13465	3771	505	11477	4434
si:dkey-13a21.4	202	3981	32	15942	119
si:dkey-13i19.8	6194	29081	1862	50911	5092
si:dkey-13m3.2	106	146	781	1247	153
si:dkey-13n23.3	48	46	106	360	95
si:dkey-145p14.5	626	10972	308	16044	954
si:dkey-147f3.4	479	810	118	1513	364
si:dkey-147f3.8	863	1927	137	5519	746
si:dkey-148a17.6	110	396	104	799	68
si:dkey-148f10.4	86	927	87	6501	126
si:dkey-148h10.5	717	540	536	5018	978
si:dkey-149m13.5	4	0	14	0	2
si:dkey-14d8.1	907	1520	299	2645	1572
si:dkey-14d8.20	132	386	59	1182	75
si:dkey-14d8.6	19287	6288	135	15283	125
si:dkey-14d8.7	8109	2360	21	6156	100
si:dkey-14o18.6	963	236	60	1928	883
si:dkey-151g10.3	304	391	374	515	555
si:dkey-153k10.9	567	2000	39	3565	3163
si:dkey-154b15.1	1710	6622	942	5805	1513
si:dkey-154p10.3	478	1604	317	4408	926
si:dkey-156k2.3	675	779	1188	2130	1635
si:dkey-156n14.5	9515	24803	4546	40722	16272
si:dkey-157g16.6	226	127	394	109	459
si:dkey-159a18.1	149	107	88	1184	160
si:dkey-159f12.2	7290	76378	3660	47040	6557
si:dkey-159n16.2	230	2576	38	2989	233
si:dkey-15h8.15	239	298	205	732	581
si:dkey-15h8.16	254	1099	227	1608	612
si:dkey-160o24.3	53	34	46	305	363
si:dkey-161j23.5	21	319	37	615	63
si:dkey-163f12.6	68	224	41	1342	103
si:dkey-163f14.6	211	292	72	1367	520
si:dkey-163m14.7	64	237	77	930	98
si:dkey-164f24.2	8183	22956	182	66741	873
si:dkey-165a24.10	79	1483	73	2303	102
si:dkey-165n16.1	855	3658	233	8337	527
si:dkey-166d12.2	128	1229	52	3011	187
si:dkey-167i21.2	92	1397	25	295	95
si:dkey-169i5.4	1135	4708	427	966	751
si:dkey-16l2.16	2353	13137	1388	21275	2863
si:dkey-16l2.17	138	410	91	1861	412
si:dkey-16l2.20	7620	15299	1307	33596	7213
si:dkey-16p19.5	15	0	49	0	21
si:dkey-16p21.7	143	208	50	188	276
si:dkey-16p21.8	20669	30424	2717	132931	20515
si:dkey-170l10.1	583	1259	846	6530	823
si:dkey-171c9.3	602	1661	298	8077	371
si:dkey-172h23.2	4425	8255	733	14669	4762
si:dkey-172j4.3	497	6372	159	10352	543
si:dkey-172k15.11	569	503	338	726	1206
si:dkey-172k15.3	348	468	256	1024	783
si:dkey-172k15.4	213	621	132	860	528
si:dkey-174i8.1	385	398	73	649	477
si:dkey-174n20.1	471	1562	131	3057	1223
si:dkey-175m17.7	402	167	75	63	888
si:dkey-177p2.18	53	179	37	126	84
si:dkey-177p2.6	14988	64539	2134	67365	14430
si:dkey-178e17.3	29	95	15	234	63
si:dkey-178k16.1	1799	204	34	475	7389
si:dkey-17e16.10	6507	16042	2887	22220	7906
si:dkey-17m8.1	612	1444	349	1989	599
si:dkey-17m8.2	88	80	34	1404	118
si:dkey-17o15.2	1874	12839	800	16985	2396
si:dkey-180p18.9	6075	18307	85	69468	442
si:dkey-182g1.2	980	2405	68	11813	956
si:dkey-182i3.10	140	843	54	2042	229
si:dkey-182i3.8	258	1173	165	1951	458
si:dkey-182i3.9	195	483	72	1026	231
si:dkey-183c6.8	539	259	26	776	1269
si:dkey-183i3.6	387	1410	46	6153	8
si:dkey-184a18.5	431	1725	209	3105	384
si:dkey-184p18.2	1954	624	501	612	3586
si:dkey-184p9.7	838	1289	744	2565	4135
si:dkey-185e18.7	1062	1253	1005	5673	1212
si:dkey-185m8.2	4302	14715	468	18527	750
si:dkey-187i8.2	94	480	14	888	68
si:dkey-187j14.4	261	41	4	303	192
si:dkey-188h10.3	1130	5376	1521	4540	688
si:dkey-188i13.10	664	28324	46	43952	247
si:dkey-188i13.11	2092	16520	312	30710	1754
si:dkey-188i13.7	678	37053	93	89876	155
si:dkey-18j18.3	69	332	78	502	111
si:dkey-190g11.3	99	1008	27	2283	108
si:dkey-190g6.2	35	136	15	416	35
si:dkey-190j3.6	21	454	3	442	13
si:dkey-190l8.2	171	2219	72	8345	488
si:dkey-192g7.3	3971	22376	404	33671	1451
si:dkey-193c22.1	494	1800	126	2014	379
si:dkey-193c22.2	169	857	273	979	483
si:dkey-193p11.2	13383	52169	561	832665	6142
si:dkey-194e6.1	667	4746	100	35433	362
si:dkey-194g4.1	162	279	112	947	353
si:dkey-195m11.11	155	4979	122	5138	162
si:dkey-195m11.8	966	451	6969	702	3612
si:dkey-196j8.2	116	159	97	663	430
si:dkey-197c15.6	539	1084	369	2308	1267
